,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,MAPK3,RIPK2,NFKB1,HSDL2,EPHX2
GSM1621793,0.049255496,0.068853917,0.202919475,7.888437895,5.347402961,9.155184856,7.608558879,8.731756963
GSM1621794,0.173280597,0.239604812,0.243385094,7.298932936,6.243331411,9.02342483,7.551107013,6.873451178
GSM1621798,0.244953582,0.296779449,0.263525401,7.00140229,6.787898524,9.205507017,7.440743663,7.040342837
GSM1621805,-0.060521262,0.090892837,0.158588916,8.335132369,5.628523503,8.789873549,8.416041064,8.649552531
GSM1621806,0.003104304,0.005759231,0.186911691,8.12646994,5.108010616,8.663325372,8.271391863,9.617285694
GSM1621809,-0.014894917,0.086034441,0.179843014,8.168974955,5.260061392,8.500893828,9.163169372,9.103930983
GSM1621810,0.309816371,0.257160219,0.306798204,7.120152051,6.163748333,9.361813797,6.927982768,8.094523966
GSM1621816,0.050416149,0.136303386,0.225847637,7.633687763,6.046235925,9.007641841,7.152338819,7.739906532
GSM1621817,-0.007316924,0.069286295,0.13495176,7.928190569,5.143885578,9.24289738,8.605743965,9.242369127
GSM1621820,0.096579046,0.186542004,0.263332779,7.668925022,5.851703077,8.908026944,7.477756561,7.555002852
GSM1621821,0.059601919,0.170832604,0.215384636,7.88774393,5.247111345,8.958576088,7.956358935,7.683000888
GSM1621824,0.296165641,0.180836821,0.282920114,7.769137135,5.048404324,9.004006316,7.979028475,9.782239985
GSM1621827,-0.027519572,0.000164521,0.140603732,7.823491071,4.89732502,9.06848842,7.956358935,9.010253601
GSM1621831,-0.060058697,0.090374033,0.16726987,7.699492407,5.058218855,9.000371465,7.911351076,8.456865266
GSM1621836,0.077884407,0.09753934,0.198893743,7.77735458,5.250629222,9.073802579,8.149633223,8.848418543
GSM1621839,-0.029501402,0.040470698,0.183599061,7.56504451,5.015670502,9.037625836,7.636436308,8.623700882
GSM1621840,-0.020428706,0.041623561,0.166544326,8.050501517,5.222569976,9.057341956,8.084602373,9.103930983
GSM1621844,0.358128702,0.250242368,0.287465517,6.959219943,6.243331411,9.377791651,7.583538769,7.338673154
GSM1621848,0.189936412,0.230495884,0.279915494,7.114693051,5.937572544,9.061183581,7.812623361,6.330175008
GSM1621851,-0.070523844,0.08131657,0.186310159,8.138389335,5.426483778,8.838144755,8.568584576,8.661844359
GSM1621852,-0.074081086,-0.008681627,0.197157179,8.113817667,4.91162182,8.702875278,8.303348528,10.22373799
GSM1621855,-0.106706209,0.009873534,0.147828615,8.231448256,4.649361746,8.841488387,8.634001081,9.126772928
GSM1621856,0.208712245,0.218044672,0.287855976,7.389213982,6.075716096,9.178577995,6.926887968,8.062940851
GSM1621857,0.029257604,0.148989097,0.224827672,7.930168145,5.890657908,9.244158666,7.467607593,8.124008965
GSM1621861,0.01787025,0.047843903,0.171300974,8.286252908,4.805003883,8.865192872,8.154777742,9.443960123
GSM1621862,-0.099557938,-0.016880962,0.09081141,7.852774207,5.08060179,8.924633824,7.956358935,9.253809327
GSM1621863,-0.045844594,0.080634316,0.122283368,8.097597332,5.191099025,9.2469897,8.569536685,9.317102593
GSM1621864,-0.063843529,-0.021488229,0.130956056,7.969645851,5.400704005,9.794220071,7.633440313,9.126772928
GSM1621865,0.054014547,0.070460809,0.166277442,7.245885653,5.679103592,9.109824091,7.91774197,8.842684839
GSM1621867,0.085924273,0.229393545,0.221971807,7.995180851,5.729668457,9.280179074,7.705015372,7.557522425
GSM1621869,0.142062224,0.124072663,0.176011275,6.955598368,5.857722403,9.075126726,7.739915848,9.045346652
GSM1621871,0.041526271,-0.003175702,0.160728611,7.70141278,4.673108328,9.06848842,7.711357774,9.559920883
GSM1621873,0.165317001,0.120017936,0.190465194,6.818288982,5.747304631,9.178577995,7.602421253,9.022670439
GSM1621876,0.22154136,0.2484891,0.246318068,7.05913564,6.072172278,9.031805278,7.514120635,6.977190838
GSM1621877,0.174833319,0.119893959,0.250188895,7.851432942,5.540635234,9.361813797,7.736183519,8.843805383
GSM1621880,0.040161683,0.071181402,0.135205956,7.161898227,5.024121652,9.07109382,8.130094636,9.018903285
GSM1621882,0.290605185,0.251068184,0.305148432,7.804833791,5.907193946,9.179851541,7.458595922,7.822597018
GSM1621884,0.255563726,0.281025205,0.353021178,6.121267391,6.610218111,9.466499649,6.811235564,6.082471017
GSM1621885,0.348247266,0.23397184,0.292328073,6.7681984,5.727739887,9.750928315,7.007854734,8.406101057
GSM1621886,-0.096529996,0.038544537,0.15114325,7.922061469,5.13757354,9.111111433,8.378874664,9.342666779
GSM1621888,0.260965125,0.280474749,0.348261994,6.233640343,6.453403521,9.361813797,6.730368001,6.215469984
GSM1621891,0.115920952,0.09470173,0.216370584,8.229063336,4.788050274,9.170566745,8.224175404,9.528512987
GSM1621895,0.073529322,0.129460608,0.202343556,8.134653913,5.323674521,8.84608382,7.318790845,8.165343975
GSM1621897,0.168329522,0.165329849,0.208738694,8.123476528,5.427370959,8.723682256,8.361862814,8.60029083
GSM1621898,0.139358373,0.109234592,0.227971185,8.03436461,5.19240891,8.766274848,8.308092967,9.229301089
GSM1621899,0.057671651,0.055570557,0.149844676,7.870576534,5.095619575,8.994495992,7.724403188,8.849503031
GSM1621901,-0.128052402,-0.002653457,0.149132014,8.279007343,4.387259964,8.423607965,8.052615227,8.487611917
GSM1621902,0.115205319,0.052096751,0.197835765,8.160759342,4.906261442,8.913878327,7.966422749,9.349057065
GSM1621903,-0.083738773,-0.061450876,0.122549729,8.363135052,4.853313689,9.125220854,8.176108473,9.142683713
GSM1621906,0.058778984,0.057115456,0.174576906,8.015147571,5.048404324,8.982431573,8.162829248,9.198254982
GSM1621907,-0.03715789,-0.015659936,0.172842834,7.36852686,4.886631185,9.20832582,7.925116526,9.174892392
GSM1621908,0.02055693,0.030748785,0.163001956,8.017900442,4.919190828,8.867661015,8.443395339,8.954148923
GSM1621909,0.055981869,0.110347025,0.152543482,7.926100076,5.179234845,9.355320804,7.849187849,8.982805159
